Index;Hann;Hamming;Blackman;Lanczos;Gaussian;Poisson;Parzen;Welch;Nutall;Blackman-Nutall;Blackman-Harris;Hann-Poisson;Bartlett-Hann;Bartlett-Fejer;Exponential;Triangular;Rectangular;Flat top;Cosine;
0;0.00000;0.08000;0.00000;-0.00000;0.04394;0.00000;0.00000;0.00000;-0.00000;0.00036;0.00006;0.00000;0.00000;0.00000;0.36824;0.00098;1.00000;0.00000;0.00000;
1;0.00001;0.08001;0.00000;0.00196;0.04448;0.00000;0.00000;0.00391;0.00000;0.00036;0.00006;0.00000;0.00048;0.00196;0.36896;0.00293;1.00000;-0.00000;0.00307;
2;0.00004;0.08003;0.00001;0.00393;0.04502;0.00000;0.00000;0.00780;0.00000;0.00037;0.00006;0.00001;0.00097;0.00391;0.36968;0.00488;1.00000;-0.00000;0.00614;
3;0.00008;0.08008;0.00003;0.00590;0.04557;0.00000;0.00000;0.01170;0.00000;0.00037;0.00006;0.00001;0.00147;0.00587;0.37040;0.00684;1.00000;-0.00001;0.00921;
4;0.00015;0.08014;0.00005;0.00788;0.04613;0.00000;0.00000;0.01558;0.00001;0.00037;0.00007;0.00002;0.00199;0.00782;0.37113;0.00879;1.00000;-0.00001;0.01228;
5;0.00024;0.08022;0.00008;0.00987;0.04669;0.00000;0.00000;0.01945;0.00001;0.00038;0.00007;0.00003;0.00253;0.00978;0.37185;0.01074;1.00000;-0.00002;0.01535;
6;0.00034;0.08031;0.00012;0.01187;0.04726;0.00000;0.00000;0.02332;0.00002;0.00039;0.00008;0.00005;0.00307;0.01173;0.37258;0.01270;1.00000;-0.00003;0.01842;
7;0.00046;0.08043;0.00017;0.01387;0.04783;0.00000;0.00001;0.02718;0.00002;0.00040;0.00009;0.00006;0.00364;0.01369;0.37331;0.01465;1.00000;-0.00004;0.02150;
8;0.00060;0.08056;0.00022;0.01588;0.04841;0.00000;0.00001;0.03104;0.00003;0.00041;0.00009;0.00008;0.00421;0.01564;0.37404;0.01660;1.00000;-0.00005;0.02457;
9;0.00076;0.08070;0.00028;0.01790;0.04900;0.00000;0.00001;0.03488;0.00004;0.00042;0.00010;0.00011;0.00480;0.01760;0.37477;0.01855;1.00000;-0.00006;0.02764;
10;0.00094;0.08087;0.00034;0.01993;0.04959;0.00000;0.00001;0.03872;0.00005;0.00044;0.00011;0.00013;0.00541;0.01955;0.37550;0.02051;1.00000;-0.00008;0.03070;
11;0.00114;0.08105;0.00041;0.02196;0.05019;0.00000;0.00002;0.04255;0.00006;0.00045;0.00013;0.00016;0.00603;0.02151;0.37624;0.02246;1.00000;-0.00009;0.03377;
12;0.00136;0.08125;0.00049;0.02400;0.05079;0.00000;0.00003;0.04637;0.00007;0.00047;0.00014;0.00019;0.00666;0.02346;0.37697;0.02441;1.00000;-0.00011;0.03684;
13;0.00159;0.08147;0.00058;0.02605;0.05140;0.00000;0.00003;0.05018;0.00008;0.00049;0.00015;0.00023;0.00731;0.02542;0.37771;0.02637;1.00000;-0.00013;0.03991;
14;0.00185;0.08170;0.00067;0.02811;0.05201;0.00000;0.00004;0.05399;0.00009;0.00051;0.00017;0.00026;0.00797;0.02737;0.37845;0.02832;1.00000;-0.00015;0.04298;
15;0.00212;0.08195;0.00077;0.03017;0.05263;0.00000;0.00005;0.05779;0.00010;0.00053;0.00018;0.00030;0.00865;0.02933;0.37919;0.03027;1.00000;-0.00017;0.04605;
16;0.00241;0.08222;0.00087;0.03224;0.05326;0.00000;0.00006;0.06158;0.00012;0.00055;0.00020;0.00035;0.00934;0.03128;0.37993;0.03223;1.00000;-0.00020;0.04912;
17;0.00272;0.08251;0.00099;0.03432;0.05389;0.00000;0.00007;0.06537;0.00013;0.00058;0.00022;0.00039;0.01005;0.03324;0.38067;0.03418;1.00000;-0.00022;0.05218;
18;0.00305;0.08281;0.00110;0.03640;0.05453;0.00000;0.00009;0.06914;0.00015;0.00060;0.00024;0.00044;0.01077;0.03519;0.38142;0.03613;1.00000;-0.00025;0.05525;
19;0.00340;0.08313;0.00123;0.03849;0.05518;0.00000;0.00010;0.07291;0.00017;0.00063;0.00026;0.00050;0.01150;0.03715;0.38216;0.03809;1.00000;-0.00028;0.05832;
20;0.00377;0.08347;0.00137;0.04059;0.05583;0.00000;0.00012;0.07667;0.00019;0.00066;0.00028;0.00055;0.01225;0.03910;0.38291;0.04004;1.00000;-0.00031;0.06138;
21;0.00415;0.08382;0.00151;0.04269;0.05649;0.00000;0.00014;0.08043;0.00021;0.00069;0.00030;0.00061;0.01301;0.04106;0.38366;0.04199;1.00000;-0.00035;0.06445;
22;0.00456;0.08419;0.00165;0.04481;0.05716;0.00000;0.00016;0.08417;0.00023;0.00073;0.00033;0.00067;0.01379;0.04301;0.38441;0.04395;1.00000;-0.00038;0.06751;
23;0.00498;0.08458;0.00181;0.04693;0.05783;0.00000;0.00018;0.08791;0.00025;0.00076;0.00036;0.00074;0.01458;0.04497;0.38516;0.04590;1.00000;-0.00042;0.07057;
24;0.00542;0.08499;0.00197;0.04905;0.05851;0.00000;0.00021;0.09164;0.00028;0.00080;0.00038;0.00081;0.01538;0.04692;0.38591;0.04785;1.00000;-0.00046;0.07364;
25;0.00588;0.08541;0.00214;0.05119;0.05919;0.00000;0.00023;0.09536;0.00030;0.00084;0.00041;0.00088;0.01620;0.04888;0.38667;0.04980;1.00000;-0.00050;0.07670;
26;0.00636;0.08585;0.00232;0.05333;0.05988;0.00000;0.00026;0.09908;0.00033;0.00088;0.00044;0.00095;0.01703;0.05083;0.38742;0.05176;1.00000;-0.00054;0.07976;
27;0.00686;0.08631;0.00250;0.05547;0.06058;0.00000;0.00029;0.10279;0.00035;0.00092;0.00047;0.00103;0.01788;0.05279;0.38818;0.05371;1.00000;-0.00059;0.08282;
28;0.00738;0.08679;0.00269;0.05763;0.06128;0.00000;0.00033;0.10649;0.00038;0.00096;0.00051;0.00111;0.01874;0.05474;0.38894;0.05566;1.00000;-0.00064;0.08588;
29;0.00791;0.08728;0.00289;0.05979;0.06200;0.00000;0.00036;0.11018;0.00041;0.00101;0.00054;0.00120;0.01962;0.05670;0.38970;0.05762;1.00000;-0.00069;0.08894;
